date,consumerloans
2000-06-28,551.6435104218372
2000-07-05,554.377884975314
2000-07-12,553.241384975314
2000-07-19,554.903784975314
2000-07-26,554.138384975314
2000-08-02,554.909484975314
2000-08-09,557.0163849753139
2000-08-16,561.010284975314
2000-08-23,562.756084975314
2000-08-30,561.490484975314
2000-09-06,562.486884975314
2000-09-13,561.855984975314
2000-09-20,568.342384975314
2000-09-27,567.031184975314
2000-10-04,564.746461109554
2000-10-11,563.4314611095541
2000-10-18,566.1791611095541
2000-10-25,565.5371611095541
2000-11-01,564.1238611095541
2000-11-08,561.7358611095541
2000-11-15,566.772261109554
2000-11-22,568.4174611095541
2000-11-29,569.975661109554
2000-12-06,567.8965611095541
2000-12-13,568.2056611095541
2000-12-20,573.6093611095541
2000-12-27,576.6254611095541
2001-01-03,578.8026928536215
2001-01-10,575.8574928536215
2001-01-17,578.1380928536215
2001-01-24,578.3951928536214
2001-01-31,576.1927928536215
2001-02-07,574.1570928536215
2001-02-14,577.1278928536215
2001-02-21,577.9935928536215
2001-02-28,574.5603928536215
2001-03-07,573.5178928536214
2001-03-14,573.7368928536215
2001-03-21,574.5362928536215
2001-03-28,576.3363928536214
2001-04-04,576.9188927637108
2001-04-11,577.7001927637108
2001-04-18,581.1005927637108
2001-04-25,582.1123927637108
2001-05-02,582.7101927637108
2001-05-09,580.8775927637107
2001-05-16,584.7026927637107
2001-05-23,585.5917927637108
2001-05-30,583.7108927637107
2001-06-06,582.1394927637108
2001-06-13,580.2631927637108
2001-06-20,581.0371927637108
2001-06-27,582.7961927637108
2001-07-04,579.2590961694609
2001-07-11,578.6575961694609
2001-07-18,580.724996169461
2001-07-25,582.5071961694609
2001-08-01,580.293896169461
2001-08-08,579.647996169461
2001-08-15,582.324896169461
2001-08-22,584.787696169461
2001-08-29,582.633396169461
2001-09-05,582.051796169461
2001-09-12,580.664296169461
2001-09-19,584.258896169461
2001-09-26,580.2843961694609
2001-10-03,578.9666217702975
2001-10-10,577.2873217702975
2001-10-17,584.0645217702975
2001-10-24,584.7836217702975
2001-10-31,584.5680217702975
2001-11-07,585.0013217702974
2001-11-14,585.2167217702975
2001-11-21,590.0177217702974
2001-11-28,591.8231217702975
2001-12-05,588.4226217702974
2001-12-12,589.3771217702974
2001-12-19,590.5266217702974
2001-12-26,593.9331217702975
2002-01-02,591.199383279132
2002-01-09,591.337883279132
2002-01-16,591.107083279132
2002-01-23,591.581683279132
2002-01-30,589.7105832791319
2002-02-06,592.382083279132
2002-02-13,586.9831832791319
2002-02-20,590.954583279132
2002-02-27,591.393283279132
2002-03-06,590.0693832791319
2002-03-13,586.6562832791319
2002-03-20,591.2997832791319
2002-03-27,592.314983279132
2002-04-03,592.768021590476
2002-04-10,593.223921590476
2002-04-17,600.7623215904761
2002-04-24,601.6811215904761
2002-05-01,597.541821590476
2002-05-08,597.084421590476
2002-05-15,598.147921590476
2002-05-22,595.257721590476
2002-05-29,597.9275215904761
2002-06-05,592.631921590476
2002-06-12,593.248021590476
2002-06-19,599.922921590476
2002-06-26,597.677221590476
2002-07-03,590.7332914915742
2002-07-10,589.8372914915741
2002-07-17,593.7553914915741
2002-07-24,595.4859914915742
2002-07-31,596.317091491574
2002-08-07,597.525391491574
2002-08-14,600.6028914915742
2002-08-21,605.1919914915741
2002-08-28,607.8837914915741
2002-09-04,608.0357914915742
2002-09-11,607.3308914915741
2002-09-18,610.9616914915741
2002-09-25,609.8271914915741
2002-10-02,610.3557154217368
2002-10-09,608.0261154217369
2002-10-16,613.4235154217369
2002-10-23,612.9204154217368
2002-10-30,611.9425154217369
2002-11-06,607.0991154217369
2002-11-13,606.6844154217368
2002-11-20,608.0129154217368
2002-11-27,609.0441154217368
2002-12-04,607.9424154217369
2002-12-11,610.0881154217368
2002-12-18,612.8405154217369
2002-12-25,611.6517154217369
2003-01-01,611.7919868136873
2003-01-08,610.9631868136873
2003-01-15,610.1845868136874
2003-01-22,610.9532868136874
2003-01-29,608.0749868136874
2003-02-05,602.8766868136875
2003-02-12,603.0462868136874
2003-02-19,607.9077868136874
2003-02-26,607.9290868136874
2003-03-05,604.7666868136874
2003-03-12,600.2616868136874
2003-03-19,604.9823868136874
2003-03-26,601.8629868136874
2003-04-02,599.8224955400858
2003-04-09,598.2079955400858
2003-04-16,598.4138955400858
2003-04-23,599.3081955400858
2003-04-30,599.2791955400858
2003-05-07,604.5888955400858
2003-05-14,606.7176955400857
2003-05-21,607.8762955400858
2003-05-28,611.4328955400858
2003-06-04,603.5673955400857
2003-06-11,603.4188955400858
2003-06-18,606.7410955400858
2003-06-25,603.0609955400857
2003-07-02,604.9310079164586
2003-07-09,603.4926079164586
2003-07-16,606.0268079164586
2003-07-23,607.0070079164586
2003-07-30,609.0361079164586
2003-08-06,604.0632079164586
2003-08-13,604.7762079164586
2003-08-20,607.8077079164586
2003-08-27,606.8764079164586
2003-09-03,604.9440079164585
2003-09-10,604.0801079164586
2003-09-17,606.4051079164585
2003-09-24,604.7764079164585
2003-10-01,602.9710935395726
2003-10-08,600.8555935395726
2003-10-15,603.2003935395726
2003-10-22,601.8728935395726
2003-10-29,602.4598935395726
2003-11-05,607.1956935395726
2003-11-12,609.6071935395726
2003-11-19,614.4652935395727
2003-11-26,612.4912935395727
2003-12-03,610.5686935395727
2003-12-10,611.7230935395726
2003-12-17,616.4852935395727
2003-12-24,619.6175935395727
2003-12-31,617.3124935395726
2004-01-07,619.5018168284878
2004-01-14,618.1134168284879
2004-01-21,620.1048168284879
2004-01-28,618.7652168284878
2004-02-04,614.6525168284878
